RK,,Team,Total Points,Previous Points,+/-
78,Georgia,1305.98,1307.34,-1.36,
79,Gabon,1305.47,1301.84,3.63,
80,China PR,1305.06,1305.06,0.00,
81,Honduras,1300.78,1301.98,-1.20,
82,Bolivia,1294.96,1296.28,-1.32,
83,Guinea,1290.47,1290.47,0.00,
84,Jordan,1289.99,1289.99,0.00,
85,Bahrain,1280.27,1280.64,-0.37,
86,Curaçao,1278.64,1278.64,0.00,
87,Haiti,1269.07,1269.07,0.00,
88,Zambia,1265.15,1267.41,-2.26,
89,Uganda,1260.69,1260.69,0.00,
90,Syria,1251.46,1255.92,-4.46,
91,Benin,1247.47,1247.47,0.00,
92,Luxembourg,1245.35,1243.8,1.55,
93,Palestine,1233.72,1233.72,0.00,
94,Kyrgyz Republic,1232.91,1230.22,2.69,
95,Armenia,1231.76,1233.93,-2.17,
96,Vietnam,1228.63,1226.65,1.98,
97,Belarus,1221.68,1221.06,0.62,
98,Equatorial Guinea,1215.66,1215.66,0.00,
99,Congo,1208.79,1208.79,0.00,
100,Lebanon,1208.47,1211.71,-3.24,
101,Kenya,1202.26,1202.26,0.00,
102,Madagascar,1200.74,1200.74,0.00,
103,Mauritania,1197.58,1197.58,0.00,
104,Trinidad and Tobago,1195.29,1195.29,0.00,
105,New Zealand,1193.98,1193.98,0.00,
106,India,1192.09,1192.09,0.00,
107,Kosovo,1187.03,1187.01,0.02,
108,Tajikistan,1187.02,1185.7,1.32,
109,Estonia,1186.27,1184.64,1.63,
110,Cyprus,1185.17,1183.82,1.35,
111,Thailand,1173.4,1174.92,-1.52,
112,Korea DPR,1169.96,1169.96,0.00,
113,Namibia,1164.13,1164.13,0.00,
114,Mozambique,1163.56,1165.22,-1.66,
115,Kazakhstan,1163.09,1166.63,-3.54,
116,Sierra Leone,1160.31,1160.31,0.00,
117,Angola,1158.81,1155.9,2.91,
118,Guinea-Bissau,1158.77,1160.71,-1.94,
119,Guatemala,1157.56,1156.7,0.86,
120,Libya,1156.74,1154.25,2.49,
121,Azerbaijan,1151.82,1146.72,5.10,
122,Niger,1148.53,1152.8,-4.27,
123,Faroe Islands,1146.31,1147.17,-0.86,
124,Malawi,1144.97,1144.97,0.00,
125,Zimbabwe,1138.56,1138.56,0.00,
126,The Gambia,1137.57,1137.47,0.10,
127,Togo,1128.92,1128.92,0.00,
128,Sudan,1127.34,1127.34,0.00,
129,Comoros,1123.18,1123.18,0.00,
130,Tanzania,1119.89,1119.89,0.00,
131,Antigua and Barbuda,1117.01,1117.01,0.00,
132,Central African Republic,1116.97,1116.97,0.00,
133,Latvia,1116.96,1114.21,2.75,
134,Philippines,1113.15,1115.13,-1.98,
135,Turkmenistan,1100.47,1100.47,0.00,
136,Solomon Islands,1095.7,1095.7,0.00,
137,Rwanda,1093.66,1093.66,0.00,
138,Ethiopia,1091.19,1091.19,0.00,
139,Suriname,1077.3,1077.3,0.00,
140,St Kitts and Nevis,1076.91,1076.91,0.00,
141,Burundi,1075.27,1076.26,-0.99,
142,Nicaragua,1071.74,1071.83,-0.09,
143,Eswatini,1070.89,1070.89,0.00,
144,Lithuania,1069.12,1069.75,-0.63,
145,Malaysia,1066.6,1062.32,4.28,
146,Hong Kong,1062.39,1062.39,0.00,
147,Lesotho,1061.4,1061.4,0.00,
148,Kuwait,1056.64,1053.41,3.23,
149,Botswana,1054.43,1056.46,-2.03,
150,Liberia,1049.66,1049.66,0.00,
151,Indonesia,1033.9,1033.9,0.00,
152,Dominican Republic,1031.86,1031.86,0.00,
153,Andorra,1031.13,1035.2,-4.07,
154,Yemen,1023.52,1023.52,0.00,
155,Afghanistan,1023.04,1023.04,0.00,
156,Maldives,1021.18,1026.09,-4.91,
157,Chinese Taipei,1021.02,1017.78,3.24,
158,Papua New Guinea,1007.46,1007.46,0.00,
159,Myanmar,1006.16,1007.89,-1.73,
160,Singapore,1006.1,1003.5,2.60,
161,New Caledonia,995.58,995.58,0.00,
162,Tahiti,995.11,995.11,0.00,
163,Fiji,989.43,989.43,0.00,
164,Vanuatu,985.62,985.62,0.00,
165,South Sudan,983.99,983.99,0.00,
166,Barbados,982.27,982.27,0.00,
167,Malta,978.95,977.92,1.03,
168,Cuba,978.65,978.65,0.00,
169,Bermuda,977.47,977.47,0.00,
170,Puerto Rico,974.32,974.32,0.00,
171,Guyana,968.74,968.74,0.00,
172,St Lucia,964.73,965.66,-0.93,
173,Grenada,963.72,963.72,0.00,
174,Moldova,958.88,961.23,-2.35,
175,Nepal,956.94,954.86,2.08,
176,Belize,950.88,950.88,0.00,
177,Cambodia,946.66,948.62,-1.96,
178,St Vincent and the Grenadines,945.25,945.25,0.00,
179,Montserrat,940.78,940.78,0.00,
180,Mauritius,932.02,932.02,0.00,
181,Chad,930.22,930.22,0.00,
182,Macau,922.1,922.1,0.00,
183,Mongolia,913.55,913.55,0.00,
184,Dominica,911.51,911.51,0.00,
185,Bhutan,910.96,910.96,0.00,
186,São Tomé and Príncipe,908.18,908.18,0.00,
187,Laos,905.51,905.51,0.00,
188,American Samoa,900.27,900.27,0.00,
189,Cook Islands,899.33,899.33,0.00,
190,Brunei Darussalam,898.02,898.41,-0.39,
191,Samoa,894.26,894.26,0.00,
192,Bangladesh,884.45,884.45,0.00,
193,Djibouti,875.05,875.05,0.00,
194,Cayman Islands,865.72,865.72,0.00,
195,Pakistan,864.72,866.81,-2.09,
196,Tonga,861.81,861.81,0.00,
197,Timor-Leste,860.45,860.06,0.39,
198,Liechtenstein,859.84,862.39,-2.55,
199,Seychelles,859.56,859.56,0.00,
200,Gibraltar,858.04,852.16,5.88,
201,Eritrea,855.56,855.56,0.00,
202,Aruba,855.37,855.37,0.00,
203,Bahamas,854.8,854.8,0.00,
204,Somalia,854.72,854.72,0.00,
205,Guam,838.33,838.33,0.00,
206,Turks and Caicos Islands,832,832,0.00,
207,Sri Lanka,825.25,825.25,0.00,
208,US Virgin Islands,823.97,823.97,0.00,
209,British Virgin Islands,809.32,809.32,0.00,
210,Anguilla,790.74,790.74,0.00,
211,San Marino,763.15,762.22,0.93,
