Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
gh Ghana,1,3.0,7,1,0,0,0,6.5,0.34,-0.5,-0.18,13,36,36.1,47,8,53.2,41.6,31,35.5,35.0,58,2,3.4,1,0.33,11.4
ir IR Iran,2,3.0,7,0,0,1,0,5.5,0.37,-1.5,-0.5,13,46,28.3,56,17,50.0,38.1,20,90.0,59.5,46,4,8.7,0,0.0,6.5
jp Japan,1,4.3,4,1,0,0,0,5.3,0.24,1.3,0.31,12,54,22.2,86,12,44.2,35.8,26,61.5,45.7,61,4,6.6,0,0.0,8.4
kr Korea Republic,1,4.0,8,1,0,0,0,6.6,0.3,-1.4,-0.34,11,42,26.2,99,12,28.3,31.5,29,48.3,43.3,47,3,6.4,5,1.25,15.2
mx Mexico,1,3.0,3,0,0,1,0,3.0,0.33,0.0,-0.01,10,24,41.7,81,12,19.8,28.1,26,30.8,32.8,28,0,0.0,3,1.0,12.9
ma Morocco,2,7.3,5,0,0,0,1,3.9,0.28,-0.1,-0.01,37,92,40.2,166,20,30.1,31.8,69,60.9,46.8,109,5,4.6,6,0.82,12.6
nl Netherlands,1,5.3,4,1,0,0,0,6.5,0.25,2.5,0.47,22,55,40.0,152,34,25.7,29.2,40,40.0,35.7,63,6,9.5,5,0.94,13.3
pl Poland,1,4.0,5,0,0,0,0,7.8,0.22,2.8,0.7,40,95,42.1,109,13,62.4,43.3,33,81.8,56.3,66,1,1.5,0,0.0,7.9
pt Portugal,1,5.0,6,0,0,2,0,6.0,0.35,0.0,-0.01,13,52,25.0,123,22,31.7,33.2,35,37.1,39.6,47,3,6.4,8,1.6,15.9
qa Qatar,2,3.0,7,1,0,1,0,4.3,0.35,-2.7,-0.89,8,22,36.4,58,13,32.8,30.0,24,12.5,22.1,33,1,3.0,3,1.0,13.0
sa Saudi Arabia,1,3.0,5,1,1,1,0,6.8,0.31,1.8,0.59,16,53,30.2,71,14,47.9,40.5,29,65.5,48.3,55,4,7.3,14,4.67,18.0
sn Senegal,1,4.0,7,0,0,1,0,5.4,0.41,-1.6,-0.41,15,44,34.1,94,15,39.4,35.5,26,26.9,30.1,64,3,4.7,2,0.5,11.8
rs Serbia,1,3.0,8,0,0,1,0,7.7,0.33,-0.3,-0.11,17,50,34.0,104,21,33.7,34.2,21,71.4,57.2,28,3,10.7,8,2.67,20.3
es Spain,1,4.3,3,0,0,0,0,3.7,0.41,0.7,0.17,7,11,63.6,138,19,7.2,22.0,22,4.5,21.4,22,4,18.2,6,1.38,15.7
ch Switzerland,2,4.0,9,0,0,1,0,8.6,0.38,-0.4,-0.09,6,21,28.6,120,23,15.0,25.7,27,11.1,22.6,68,2,2.9,1,0.25,10.5
tn Tunisia,1,3.0,1,0,0,0,0,2.4,0.24,1.4,0.46,15,41,36.6,59,7,49.2,39.9,18,66.7,51.1,52,0,0.0,0,0.0,12.0
us United States,1,4.0,4,1,0,0,0,3.4,0.2,-0.6,-0.15,13,38,34.2,108,24,24.1,29.4,20,60.0,48.1,42,7,16.7,5,1.25,13.8
uy Uruguay,1,3.0,2,1,0,0,0,3.0,0.16,1.0,0.34,6,27,22.2,54,6,37.0,33.4,24,29.2,29.9,33,2,6.1,2,0.67,11.0
wls Wales,2,3.0,6,0,1,0,0,4.9,0.35,-1.1,-0.35,23,53,43.4,80,20,45.0,35.1,25,68.0,49.0,48,3,6.3,2,0.67,9.4
