#,Player,Team,Age,Club,Market value
122,Marc-André ter Stegen,Germany,30,FC Barcelona,€30.00m
123,Leandro Trossard,Belgium,28,Brighton & Hove Albion,€30.00m
124,Brenden Aaronson,United States,22,Leeds United,€30.00m
125,Manuel Akanji,Switzerland,27,Manchester City,€30.00m
126,Teun Koopmeiners,Netherlands,24,Atalanta BC,€30.00m
127,Nathan Aké,Netherlands,27,Manchester City,€30.00m
128,Eric Dier,England,29,Tottenham Hotspur,€30.00m
129,Charles De Ketelaere,Belgium,21,AC Milan,€30.00m
130,Daichi Kamada,Japan,26,Eintracht Frankfurt,€30.00m
131,Harry Maguire,England,29,Manchester United,€30.00m
132,Aaron Ramsdale,England,24,Arsenal FC,€30.00m
133,Paulo Dybala,Argentina,29,AS Roma,€30.00m
134,Youssoufa Moukoko,Germany,18,Borussia Dortmund,€30.00m
135,Gonçalo Ramos,Portugal,21,SL Benfica,€30.00m
136,John Stones,England,28,Manchester City,€30.00m
137,Andreas Christensen,Denmark,26,FC Barcelona,€30.00m
138,Otávio,Portugal,27,FC Porto,€30.00m
139,Yannick Carrasco,Belgium,29,Atlético de Madrid,€30.00m
140,Hirving Lozano,Mexico,27,SSC Napoli,€28.00m
141,Guido Rodríguez,Argentina,28,Real Betis Balompié,€28.00m
142,Denzel Dumfries,Netherlands,26,Inter Milan,€28.00m
143,Julian Brandt,Germany,26,Borussia Dortmund,€28.00m
144,Aleksandar Mitrović,Serbia,28,Fulham FC,€28.00m
145,João Palhinha,Portugal,27,Fulham FC,€28.00m
146,Luke Shaw,England,27,Manchester United,€28.00m
147,Timothy Castagne,Belgium,27,Leicester City,€28.00m
148,Emiliano Martínez,Argentina,30,Aston Villa,€28.00m
149,Jordan Pickford,England,28,Everton FC,€28.00m
150,Jesper Lindström,Denmark,22,Eintracht Frankfurt,€28.00m
151,Granit Xhaka,Switzerland,30,Arsenal FC,€28.00m
152,Noussair Mazraoui,Morocco,25,Bayern Munich,€28.00m
153,Steven Bergwijn,Netherlands,25,Ajax Amsterdam,€27.00m
154,David Raum,Germany,24,RB Leipzig,€26.00m
155,Mario Pasalic,Croatia,27,Atalanta BC,€25.00m
156,Nayef Aguerd,Morocco,26,West Ham United,€25.00m
157,Hugo Guillamón,Spain,22,Valencia CF,€25.00m
158,Adrien Rabiot,France,27,Juventus FC,€25.00m
159,Unai Simón,Spain,25,Athletic Bilbao,€25.00m
160,Juan Foyth,Argentina,25,Villarreal CF,€25.00m
161,Mattéo Guendouzi,France,23,Olympique Marseille,€25.00m
162,Ilkay Gündogan,Germany,32,Manchester City,€25.00m
163,Christian Eriksen,Denmark,30,Manchester United,€25.00m
164,Sofyan Amrabat,Morocco,26,ACF Fiorentina,€25.00m
165,Yunus Musah,United States,20,Valencia CF,€25.00m
166,Noah Okafor,Switzerland,22,Red Bull Salzburg,€25.00m
167,Youssouf Fofana,France,24,AS Monaco,€25.00m
168,Jeremie Frimpong,Netherlands,22,Bayer 04 Leverkusen,€25.00m
169,Antoine Griezmann,France,31,Atlético de Madrid,€25.00m
170,Álvaro Morata,Spain,30,Atlético de Madrid,€25.00m
171,Takehiro Tomiyasu,Japan,24,Arsenal FC,€25.00m
172,Axel Disasi,France,24,AS Monaco,€25.00m
173,Piero Hincapié,Ecuador,21,Bayer 04 Leverkusen,€25.00m
174,Marco Asensio,Spain,26,Real Madrid,€25.00m
175,Nico Williams,Spain,20,Athletic Bilbao,€25.00m
176,Gregor Kobel,Switzerland,25,Borussia Dortmund,€25.00m
177,Filip Kostić,Serbia,30,Juventus FC,€24.00m
178,André Silva,Portugal,27,RB Leipzig,€24.00m
179,Leander Dendoncker,Belgium,27,Aston Villa,€22.00m
180,David Raya,Spain,27,Brentford FC,€22.00m
181,Lovro Majer,Croatia,25,Stade Rennais FC,€22.00m
182,Matty Cash,Poland,25,Aston Villa,€22.00m
183,Djibril Sow,Switzerland,25,Eintracht Frankfurt,€22.00m
184,Thilo Kehrer,Germany,26,West Ham United,€22.00m
185,Nahuel Molina,Argentina,24,Atlético de Madrid,€22.00m
186,Tyrell Malacia,Netherlands,23,Manchester United,€22.00m
187,Weston McKennie,United States,24,Juventus FC,€21.00m
188,Ben Davies,Wales,29,Tottenham Hotspur,€20.00m
189,Memphis Depay,Netherlands,28,FC Barcelona,€20.00m
190,Pervis Estupiñán,Ecuador,24,Brighton & Hove Albion,€20.00m
191,Arthur Theate,Belgium,22,Stade Rennais FC,€20.00m
192,Breel Embolo,Switzerland,25,AS Monaco,€20.00m
193,Strahinja Pavlovic,Serbia,21,Red Bull Salzburg,€20.00m
194,Raphaël Guerreiro,Portugal,29,Borussia Dortmund,€20.00m
195,Mehdi Taremi,Iran,30,FC Porto,€20.00m
196,Andreas Skov Olsen,Denmark,23,Club Brugge KV,€20.00m
197,Denis Zakaria,Switzerland,26,Chelsea FC,€20.00m
198,Cristiano Ronaldo,Portugal,37,Al-Nassr FC,€20.00m
199,Borna Sosa,Croatia,24,VfB Stuttgart,€20.00m
200,Hakim Ziyech,Morocco,29,Chelsea FC,€20.00m
201,Nico Elvedi,Switzerland,26,Borussia Mönchengladbach,€20.00m
202,Pedro,Brazil,25,CR Flamengo,€20.00m
203,Pablo Sarabia,Spain,30,Wolverhampton Wanderers,€20.00m
204,Nikola Milenković,Serbia,25,ACF Fiorentina,€20.00m
205,Matthias Ginter,Germany,28,SC Freiburg,€20.00m
206,Nikola Vlasic,Croatia,25,Torino FC,€20.00m
207,Ricardo Horta,Portugal,28,SC Braga,€20.00m
208,Wout Faes,Belgium,24,Leicester City,€20.00m
209,Brennan Johnson,Wales,21,Nottingham Forest,€20.00m
210,Luka Sucic,Croatia,20,Red Bull Salzburg,€20.00m
211,Fred,Brazil,29,Manchester United,€20.00m
212,Giorgian de Arrascaeta,Uruguay,28,CR Flamengo,€19.00m
213,Josip Sutalo,Croatia,22,GNK Dinamo Zagreb,€18.00m
214,José Sá,Portugal,30,Wolverhampton Wanderers,€18.00m
215,Manuel Ugarte,Uruguay,21,Sporting CP,€18.00m
216,Koke,Spain,31,Atlético de Madrid,€18.00m
217,Callum Wilson,England,30,Newcastle United,€18.00m
218,Armel Bella-Kotchap,Germany,21,Southampton FC,€18.00m
219,Jérémy Doku,Belgium,20,Stade Rennais FC,€18.00m
220,Conor Coady,England,29,Everton FC,€18.00m
221,Neco Williams,Wales,21,Nottingham Forest,€18.00m
222,Thomas Müller,Germany,33,Bayern Munich,€18.00m
223,Eric García,Spain,22,FC Barcelona,€18.00m
224,Xavi Simons,Netherlands,19,PSV Eindhoven,€18.00m
225,Nick Pope,England,30,Newcastle United,€18.00m
226,Jan Bednarek,Poland,26,Aston Villa,€18.00m
227,Daniel Carvajal,Spain,31,Real Madrid,€18.00m
228,Harry Wilson,Wales,25,Fulham FC,€17.00m
229,Tyler Adams,United States,23,Leeds United,€17.00m
230,Daniel James,Wales,25,Fulham FC,€16.00m
231,Sergiño Dest,United States,22,AC Milan,€16.00m
232,William Carvalho,Portugal,30,Real Betis Balompié,€16.00m
233,Mikkel Damsgaard,Denmark,22,Brentford FC,€15.00m
234,Youssef En-Nesyri,Morocco,25,Sevilla FC,€15.00m
235,Jordan Henderson,England,32,Liverpool FC,€15.00m
236,António Silva,Portugal,19,SL Benfica,€15.00m
237,Kyle Walker,England,32,Manchester City,€15.00m
238,Mathías Olivera,Uruguay,25,SSC Napoli,€15.00m
239,Bono,Morocco,31,Sevilla FC,€15.00m
240,Leandro Paredes,Argentina,28,Juventus FC,€15.00m
241,Alejandro Balde,Spain,19,FC Barcelona,€15.00m
242,Stefan de Vrij,Netherlands,30,Inter Milan,€15.00m
243,Exequiel Palacios,Argentina,24,Bayer 04 Leverkusen,€15.00m
244,Ritsu Doan,Japan,24,SC Freiburg,€15.00m
245,Azzedine Ounahi,Morocco,22,Angers SCO,€15.00m
246,Thiago Almada,Argentina,21,Atlanta United FC,€15.00m
247,Hans Vanaken,Belgium,30,Club Brugge KV,€15.00m
248,Noa Lang,Netherlands,23,Club Brugge KV,€15.00m
249,Lucas Torreira,Uruguay,26,Galatasaray,€15.00m
250,Rasmus Kristensen,Denmark,25,Leeds United,€15.00m
